藥品代碼,藥品分類分組名稱,含包裹支付的醫令量_合計
AC35788336,TRIAMCINOLONE 1MG/GM + GRAMICIDIN 0.25MG/GM + NYSTATIN 100KIU/GM + NEOMYCIN 2.5MG/GM， 外用軟膏劑， 16.00GM,558
AC357951G0,GLICLAZIDE ， 一般錠劑膠囊劑 ， 80.00 MG,210
AC35806100,GLIPIZIDE ， 一般錠劑膠囊劑 ， 5.00 MG,132
AC35814338,BETAMETHASONE (DIPROPIONATE)0.5MG/GM + CLOTRIMAZOLE 10MG/GM， 外用軟膏劑， 20.00GM,31
AC35817100,SODIUM DIBUNATE ， 一般錠劑膠囊劑 ， 30.00 MG,20899
AC358171G0,SODIUM DIBUNATE ， 一般錠劑膠囊劑 ， 30.00 MG,1491
AC35835100,METHYLPREDNISOLONE ， 一般錠劑膠囊劑 ， 4.00 MG,383710.9
AC358351G0,METHYLPREDNISOLONE ， 一般錠劑膠囊劑 ， 4.00 MG,38989
AC35836100,CAPTOPRIL ， 一般錠劑膠囊劑 ， 50.00 MG,119
AC35837212,FAMOTIDINE ， 注射劑 ， 20.00 MG,73653
AC35838100,GEMFIBROZIL ， 一般錠劑膠囊劑 ， 300.00 MG,46787
AC358381G0,GEMFIBROZIL ， 一般錠劑膠囊劑 ， 300.00 MG,1926803.6
AC35844100,CEPHRADINE ， 一般錠劑膠囊劑 ， 500.00 MG,1522953
AC35845100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,27
AC35868100,MINOCYCLINE ， 一般錠劑膠囊劑 ， 100.00 MG,72643.2
AC35869329,METRONIDAZOLE ， 外用軟膏劑 ， 7.50  MG/GM ， 10.00 GM,109100.3
AC35869330,METRONIDAZOLE ， 外用軟膏劑 ， 7.50  MG/GM ， 12.00 GM,8247.3
AC35869335,METRONIDAZOLE ， 外用軟膏劑 ， 7.50  MG/GM ， 15.00 GM,189827.6
AC35878100,FENBUFEN ， 一般錠劑膠囊劑 ， 300.00 MG,60316
AC35879100,SULPIRIDE ， 一般錠劑膠囊劑 ， 200.00 MG,2.3
AC35888321,FLUMETHASONE 0.2MG/GM + SALICYLIC ACID 30MG/GM， 外用軟膏劑， 5.00GM,43116.9
AC35888329,FLUMETHASONE 0.2MG/GM + SALICYLIC ACID 30MG/GM， 外用軟膏劑， 10.00GM,6494
AC35888335,FLUMETHASONE 0.2MG/GM + SALICYLIC ACID 30MG/GM， 外用軟膏劑， 15.00GM,15155.5
AC35890100,CLINDAMYCIN ， 一般錠劑膠囊劑 ， 150.00 MG,34520
AC35891100,NIFEDIPINE ，一般錠劑膠囊劑， 10.00 MG,24588.3
AC35912100,PHENOXYBENZAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,453
AC35960100,BENZARONE ， 一般錠劑膠囊劑 ， 100.00 MG,77940
AC35961100,SULPIRIDE ， 一般錠劑膠囊劑 ， 100.00 MG,7477
AC35963100,SULPIRIDE ， 一般錠劑膠囊劑 ， 200.00 MG,51
AC35974100,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,10947
AC35977321,ACYCLOVIR ， 外用軟膏劑 ， 50.00  MG/GM ， 5.00 GM,22214.9
AC35977329,ACYCLOVIR ， 外用軟膏劑 ， 50.00  MG/GM ， 10.00 GM,1537
AC35981100,AMBROXOL ， 一般錠劑膠囊劑 ， 30.00 MG,1489083.2
AC359811G0,AMBROXOL ， 一般錠劑膠囊劑 ， 30.00 MG,264713.7
AC35986100,BENZBROMARONE ， 一般錠劑膠囊劑 ， 50.00 MG,33696.5
AC359861G0,BENZBROMARONE ， 一般錠劑膠囊劑 ， 50.00 MG,248575
AC35989100,CLIDINIUM 2.5MG + CHLORDIAZEPOXIDE 5MG， 一般錠劑膠囊劑，,13.5
AC35991209,CEPHALEXIN ， 注射劑 ， 1.00 GM,14173.6
AC35996100,DILTIAZEM ， 一般錠劑膠囊劑 ， 30.00 MG,63156.6
AC359961G0,DILTIAZEM ， 一般錠劑膠囊劑 ， 30.00 MG,23497
AC35997100,VITAMIN B12 (=MECOBALAMIN) ， 一般錠劑膠囊劑 ， 500.00 MCG,63913
AC36004100,IBUPROFEN ， 一般錠劑膠囊劑 ， 400.00 MG,2065433.2
AC36008100,PYRIDOSTIGMINE ， 一般錠劑膠囊劑 ， 60.00 MG,5454978.9
AC36014238,SODIUM CHLORIDE ， 注射劑 ， 4.50  MG/ML ， 20.00 ML,2236
AC36014277,SODIUM CHLORIDE ， 注射劑 ， 4.50  MG/ML ， 500.00 ML,528286.2
AC36015345,ETOFENAMATE ， 外用軟膏劑 ， 100.00  MG/GM ， 40.00 GM,6
AC36020100,CARBAMAZEPINE ， 一般錠劑膠囊劑 ， 200.00 MG,3
AC36031321,BETAMETHASONE (VALERATE) 1MG/GM + GENTAMICIN 1MG/GM， 外用軟膏劑， 5.00GM,2526
AC36031329,BETAMETHASONE (VALERATE)1MG/GM + GENTAMICIN 1MG/GM， 外用軟膏劑， 10.00GM,1483
AC36031335,BETAMETHASONE (VALERATE) 1MG/GM + GENTAMICIN 1MG/GM， 外用軟膏劑， 15.00GM,2222.7
AC36031338,BETAMETHASONE 1MG/GM + GENTAMICIN 1MG/GM， 外用軟膏劑， 20.00GM,308
AC36034100,SILYMARIN ， 一般錠劑膠囊劑 ， 70.00 MG,12426
AC36047100,CLINDAMYCIN ， 一般錠劑膠囊劑 ， 150.00 MG,299607
AC360471G0,CLINDAMYCIN ， 一般錠劑膠囊劑 ， 150.00 MG,8246.5
AC36049165,DEXTROSE 25MG/ML + ELECTROLYTE SOLUTIONS， 口服液劑， 250.00ML,35
AC36060100,TIMEPIDIUM ， 一般錠劑膠囊劑 ， 30.00 MG,4522.5
AC36069100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,1661589.1
AC360691G0,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,191904
AC36072100,CLINDAMYCIN ， 一般錠劑膠囊劑 ， 300.00 MG,319866.1
AC36082100,CEFACLOR ， 一般錠劑膠囊劑 ， 250.00 MG,4.5
AC36083100,SULFAMETHOXAZOLE 400MG + TRIMETHOPRIM 80MG， 一般錠劑膠囊劑，,20050.3
AC36084421,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,985.5
AC36084429,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 10.00 GM,180
AC36099100,DICLOFENAC ， 一般錠劑膠囊劑 ， 25.00 MG,1429302.5
AC360991G0,DICLOFENAC ， 一般錠劑膠囊劑 ， 25.00 MG,124408.5
AC36105100,NAPROXEN ， 緩釋錠劑膠囊劑 ， 750.00 MG,6345
AC36129100,ATENOLOL ， 一般錠劑膠囊劑 ， 50.00 MG,207
AC361291G0,ATENOLOL ， 一般錠劑膠囊劑 ， 50.00 MG,330
AC36132100,TRANEXAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,557000.6
AC36151100,AMBROXOL ， 一般錠劑膠囊劑 ， 30.00 MG,14768748.2
AC361511G0,AMBROXOL ， 一般錠劑膠囊劑 ， 30.00 MG,14728074.5
AC36160110,AMOXICILLIN ， 口服液劑 ， 25.00 MG/ML， 60.00 ML,611
AC36162100,PIROXICAM ， 一般錠劑膠囊劑 ， 20.00 MG,223010.1
AC361621G0,PIROXICAM ， 一般錠劑膠囊劑 ， 20.00 MG,66360
AC36170212,METOCLOPRAMIDE ， 注射劑 ， 10.00 MG,4014.8
AC36172157,CODEINE ，口服液劑， ≧100.00－≦135.00ML,2465
AC36174321,BETAMETHASONE (VALERATE) 1MG/GM + GENTAMICIN 1MG/GM， 外用軟膏劑， 5.00GM,167977.6
AC36174329,BETAMETHASONE (VALERATE)1MG/GM + GENTAMICIN 1MG/GM， 外用軟膏劑， 10.00GM,53545.4
AC36174335,BETAMETHASONE (VALERATE) 1MG/GM + GENTAMICIN 1MG/GM， 外用軟膏劑， 15.00GM,4220.2
AC36174338,BETAMETHASONE 1MG/GM + GENTAMICIN 1MG/GM， 外用軟膏劑， 20.00GM,6
AC36178100,PIROXICAM ， 一般錠劑膠囊劑 ， 10.00 MG,1025474.1
AC361781G0,PIROXICAM ， 一般錠劑膠囊劑 ， 10.00 MG,96471.3
AC36181321,DIFLUCORTOLONE 1MG/GM + ISOCONAZOLE 10MG/GM， 外用軟膏劑， 5.00GM,23461.1
AC36181329,DIFLUCORTOLONE 1MG/GM + ISOCONAZOLE 10MG/GM， 外用軟膏劑， 10.00GM,8
AC36181338,DIFLUCORTOLONE 1MG/GM + ISOCONAZOLE 10MG/GM， 外用軟膏劑， 20.00GM,56
AC36184100,BACLOFEN ， 一般錠劑膠囊劑 ， 10.00 MG,30071.5
AC36188100,CLINDAMYCIN ， 一般錠劑膠囊劑 ， 300.00 MG,1050414
AC36192100,NICERGOLINE ， 一般錠劑膠囊劑 ， 10.00 MG,12308
AC36195100,BETAHISTINE ， 一般錠劑膠囊劑 ， 12.00 MG,331185
AC361951G0,BETAHISTINE ， 一般錠劑膠囊劑 ， 12.00 MG,19353.5
AC36201100,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,125394
AC362011G0,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,1975512.5
AC36204100,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,5380
AC362041G0,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,10695
AC36214100,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,6788.5
AC362141G0,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,149
AC36215100,SELEGILINE ， 一般錠劑膠囊劑 ， 5.00 MG,2654
AC36216100,ACETAMINOPHEN 450MG + CHLORMEZANONE 100MG， 一般錠劑膠囊劑，,46562
AC36237100,BUTYLSCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,1544005.3
AC362371G0,BUTYLSCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,182277.5
AC36240100,GLICLAZIDE ， 一般錠劑膠囊劑 ， 80.00 MG,405
AC362401G0,GLICLAZIDE ， 一般錠劑膠囊劑 ， 80.00 MG,6804
AC36241100,TIMEPIDIUM ， 一般錠劑膠囊劑 ， 30.00 MG,3
AC36266100,MINOCYCLINE ， 一般錠劑膠囊劑 ， 100.00 MG,333034.4
AC36267100,FLURBIPROFEN ， 一般錠劑膠囊劑 ， 50.00 MG,147979
AC362671G0,FLURBIPROFEN ， 一般錠劑膠囊劑 ， 50.00 MG,22506
AC36280100,OXYBUTYNIN ， 一般錠劑膠囊劑 ， 5.00 MG,1977
AC36281100,MINOCYCLINE ， 一般錠劑膠囊劑 ， 100.00 MG,10238
AC36312100,CARBETAPENTANE ， 一般錠劑膠囊劑 ， 30.00 MG,679334.9
AC36315321,CLOBETASOL PROPIONATE ， 外用軟膏劑 ， 0.50  MG/GM ， 5.00 GM,50439.3
AC36315324,CLOBETASOL PROPIONATE ， 外用軟膏劑 ， 0.50  MG/GM ， 7.00 GM,552908.1
AC36315329,CLOBETASOL PROPIONATE ， 外用軟膏劑 ， 0.50  MG/GM ， 10.00 GM,543123.3
AC36315340,CLOBETASOL PROPIONATE ， 外用軟膏劑 ， 0.50  MG/GM ， 25.00 GM,189881.8
AC36322100,MECLOFENAMIC ACID ， 一般錠劑膠囊劑 ， 100.00 MG,131158
AC36330151,THEOPHYLLINE ， 口服液劑 ， 5.34  MG/ML ， 60.00 ML,287752.2
AC36332143,GINKGO BILOBA EXTRACT(=9.6MG GINKGO FLAVONGLYCOSIDE ， 口服液劑 ， 40.00  MG/ML ， 30.00 ML,66642
AC36338100,BENZARONE ， 一般錠劑膠囊劑 ， 100.00 MG,256150.2
AC363491G0,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,26156764.6
AC36350500,BISACODYL ， 栓劑 ， 10.00 MG,3753473.8
AC36356100,CLINDAMYCIN ， 一般錠劑膠囊劑 ， 300.00 MG,630462.4
AC36360100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,3775243.4
AC36365209,CEFOTAXIME ， 注射劑 ， 1000.00 MG,39060
AC36365212,CEFOTAXIME ， 注射劑 ， 2000.00 MG,9144.9
AC36367100,AMILORIDE 5MG + HYDROCHLOROTHIAZIDE 50MG， 一般錠劑膠囊劑,50986.3
AC36370100,OXYBUTYNIN ， 一般錠劑膠囊劑 ， 5.00 MG,181310.5
AC36385100,VITAMIN B12 (=MECOBALAMIN) ， 一般錠劑膠囊劑 ， 500.00 MCG,801047.4
AC363851G0,VITAMIN B12 (=MECOBALAMIN) ， 一般錠劑膠囊劑 ， 500.00 MCG,3536265.5
AC36389100,BACLOFEN ， 一般錠劑膠囊劑 ， 10.00 MG,1068068.7
AC36395100,GLIPIZIDE ， 一般錠劑膠囊劑 ， 5.00 MG,732
AC363951G0,GLIPIZIDE ， 一般錠劑膠囊劑 ， 5.00 MG,8285
AC36396100,TICLOPIDINE ， 一般錠劑膠囊劑 ， 100.00 MG,512761
AC36399100,SILYMARIN ， 一般錠劑膠囊劑 ， 35.00 MG,758
AC36402209,DIMENHYDRINATE，注射劑， 50.00MG (= DIPHENHYRAMINE 25.00MG),991.5
AC36403100,FLURBIPROFEN ， 一般錠劑膠囊劑 ， 50.00 MG,367722.7
AC364031G0,FLURBIPROFEN ， 一般錠劑膠囊劑 ， 50.00 MG,60737
AC36410100,DOMPERIDONE ， 一般錠劑膠囊劑 ， 10.00 MG,651332.5
AC364101G0,DOMPERIDONE ， 一般錠劑膠囊劑 ， 10.00 MG,30025.3
AC36413329,TRIAMCINOLONE ， 外用軟膏劑 ， 1.00  MG/GM ， 10.00 GM,28
AC36422100,TRIMETHOPRIM ， 一般錠劑膠囊劑 ， 100.00 MG,239595.4
AC36425100,CEFACLOR ， 一般錠劑膠囊劑 ， 500.00 MG,74848.7
AC36426100,CEFACLOR ， 一般錠劑膠囊劑 ， 250.00 MG,1007994.2
AC36427100,BACLOFEN ， 一般錠劑膠囊劑 ， 10.00 MG,3618
AC36430100,NIFLUMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,16837
AC36454100,DEXTROMETHORPHAN 20MG + POTASSIUM CRESOLSULFONATE 90MG + LYSOZYME 20MG， 一般錠劑膠囊劑，,1850133.4
AC364541G0,DEXTROMETHORPHAN 20MG + POTASSIUM CRESOLSULFONATE 90MG + LYSOZYME 20MG， 一般錠劑膠囊劑，,274738.8
AC36469212,CLINDAMYCIN ， 注射劑 ， 300.00 MG,186324.7
AC36475100,GINKGO BILOBA EXTRACT， 一般錠劑膠囊劑 ， 40.00 MG,314105
AC36480100,SUCRALFATE ， 一般錠劑膠囊劑 ， 500.00 MG,395295.5
AC364801G0,SUCRALFATE ， 一般錠劑膠囊劑 ， 500.00 MG,7640
AC36481312,ACYCLOVIR ， 外用軟膏劑 ， 50.00  MG/GM ， 2.00 GM,18693.5
AC36481317,ACYCLOVIR ， 外用軟膏劑 ， 50.00  MG/GM ， 3.50 GM,1006
AC36481321,ACYCLOVIR ， 外用軟膏劑 ， 50.00  MG/GM ， 5.00 GM,43112.2
AC36481325,ACYCLOVIR ， 外用軟膏劑 ， 50.00  MG/GM ， 7.50 GM,1779.1
AC36481329,ACYCLOVIR ， 外用軟膏劑 ， 50.00  MG/GM ， 10.00 GM,372
AC36483100,GEMFIBROZIL ， 一般錠劑膠囊劑 ， 300.00 MG,315996
AC364831G0,GEMFIBROZIL ， 一般錠劑膠囊劑 ， 300.00 MG,222795
AC36484100,TRIMETHOPRIM ， 一般錠劑膠囊劑 ， 300.00 MG,1217.5
AC36485100,FLURBIPROFEN ， 一般錠劑膠囊劑 ， 50.00 MG,495573.9
AC364851G0,FLURBIPROFEN ， 一般錠劑膠囊劑 ， 50.00 MG,13324.5
AC36500321,ACETAMIDOCAPROIC ACID 50MG/GM + NEOMYCIN 4MG/GM， 外用軟膏劑， 5.00GM,2528
AC36500329,ACETAMIDOCAPROIC ACID 50MG/GM + NEOMYCIN 4MG/GM， 外用軟膏劑， 10.00GM,505
AC36500335,ACETAMIDOCAPROIC ACID 50MG/GM + NEOMYCIN 4MG/GM， 外用軟膏劑， 15.00GM,33
AC36503100,ACETAMINOPHEN 300MG + CODEINE 6MG， 一般錠劑膠囊劑，,2338105.3
AC365031G0,ACETAMINOPHEN 300MG + CODEINE 6MG， 一般錠劑膠囊劑，,129806.5
AC36506100,SULPIRIDE ， 一般錠劑膠囊劑 ， 50.00 MG,2244511.7
AC365061G0,SULPIRIDE ， 一般錠劑膠囊劑 ， 50.00 MG,15891343.2
AC36508100,OFLOXACIN ， 一般錠劑膠囊劑 ， 100.00 MG,427239.9
AC36510209,CEFOPERAZONE ， 注射劑 ， 1000.00 MG,35443
AC36511100,ATROPINE 19.4MCG + PHENOBARBITAL 16.2MG + HYOSCYAMINE 103.7MCG + HYOSCINE HYDROBROMIDE 6.5MCG， 一般錠劑膠囊劑，,20818.5
AC36576477,GENTAMICIN ， 眼用液劑 ， 3.00  MG/ML ， .50 ML,18695
AC36580100,CIPROFLOXACIN ， 一般錠劑膠囊劑 ， 750.00 MG,10
AC36600100,DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUM SILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLL SODIUM COPPER 3MG， 一般錠劑膠囊劑，,2184760.4
AC366001G0,DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUM SILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLL SODIUM COPPER 3MG， 一般錠劑膠囊劑，,3488326
AC36601221,GINKGO BILOBA EXTRACT(=9.6MG GINKGO FLAVONGLYCOSIDE ， 注射劑 ， 17.50 MG,387
AC36632421,TROPICAMIDE ， 眼用液劑 ， 10.00  MG/ML ， 5.00 ML,294
AC36644100,TIAPROFENIC ACID ， 一般錠劑膠囊劑 ， 200.00 MG,347889
AC36654477,BETAMETHASONE ， 眼用液劑 ， 1.00  MG/ML ， .50 ML,1221761.9
AC36657121,CITRIC ACID 200MG/GM + POTASSIUM CITRATE 660MG/GM， 口服顆粒劑， 5.00GM,1520764.8
AC36662100,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,309
AC36667100,MINOCYCLINE ， 一般錠劑膠囊劑 ， 100.00 MG,344
AC36668100,SERRAPEPTASE ， 一般錠劑膠囊劑 ， 5.00 MG,24
AC36669212,FAMOTIDINE ， 注射劑 ， 20.00 MG,222544.5
AC36669221,FAMOTIDINE ， 注射劑 ， 50.00 MG,2
AC36677100,FLURAZEPAM ， 一般錠劑膠囊劑 ， 30.00 MG,3030381
AC36679100,FLURAZEPAM ， 一般錠劑膠囊劑 ， 15.00 MG,1305015
AC36693100,CEPHRADINE ， 一般錠劑膠囊劑 ， 250.00 MG,467740.5
AC36736100,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,51687.5
AC367361G0,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,1665
AC36740212,KETOPROFEN ， 注射劑 ， 100.00 MG,2710
AC36749100,ACETAMINOPHEN 250MG + CHLORZOXAZONE 150MG + CAFFEINE 20MG + VITAMIN B1 7.7MG， 一般錠劑膠囊劑,13724083.3
AC367491G0,ACETAMINOPHEN 250MG + CHLORZOXAZONE 150MG + CAFFEINE 20MG + VITAMIN B1 7.7MG， 一般錠劑膠囊劑,29561382.3
AC36753100,LOPERAMIDE ， 一般錠劑膠囊劑 ， 2.00 MG,16229.1
AC36757100,DEXTROMETHORPHAN 20MG + POTASSIUM CRESOLSULFONATE 90MG + LYSOZYME 20MG， 一般錠劑膠囊劑，,946479.6
AC36765321,BETAMETHASONE(DIPROPIONATE) 0.5MG/GM + CLOTRIMAZOLE 10MG/GM， 外用軟膏劑， 5.00GM,11829.7
AC36765329,BETAMETHASONE(DIPROPIONATE)  0.5MG/GM + CLOTRIMAZOLE 10MG/GM， 外用軟膏劑， 10.00GM,93
AC36765335,BETAMETHASONE(DIPROPIONATE)  0.5MG/GM + CLOTRIMAZOLE 10MG/GM， 外用軟膏劑， 15.00GM,68
AC36765338,BETAMETHASONE (DIPROPIONATE)0.5MG/GM + CLOTRIMAZOLE 10MG/GM， 外用軟膏劑， 20.00GM,54137
AC36768209,PIROXICAM ， 注射劑 ， 20.00 MG,888.5
AC36768212,PIROXICAM ， 注射劑 ， 40.00 MG,30
AC36769100,PIROXICAM ， 一般錠劑膠囊劑 ， 20.00 MG,90238.8
AC367691G0,PIROXICAM ， 一般錠劑膠囊劑 ， 20.00 MG,469
AC36783100,FLUNARIZINE ， 一般錠劑膠囊劑 ， 10.00 MG,397
AC36785100,KETOTIFEN ， 一般錠劑膠囊劑 ， 1.00 MG,12341.1
AC36787338,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 20.00 GM,126
AC36787340,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 25.00 GM,48
AC36787348,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 50.00 GM,7
AC36787363,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 200.00 GM,534
AC36787377,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 500.00 GM,6
AC36794100,CALCIUM ACETATE ， 一般錠劑膠囊劑 ， 667.00 MG,1515279
AC367941G0,CALCIUM ACETATE ， 一般錠劑膠囊劑 ， 667.00 MG,21686789.3
AC36811212,CIMETIDINE ， 注射劑 ， 200.00 MG,2628.5
AC36815100,MINOCYCLINE ， 一般錠劑膠囊劑 ， 100.00 MG,1192235
AC36816100,ACETAMINOPHEN 450MG + CHLORMEZANONE 100MG， 一般錠劑膠囊劑，,151725.6
AC36817100,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,215544.5
AC36820100,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,7792
AC368201G0,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,105816
AC36824421,FLUOROMETHOLONE ， 眼用液劑 ， 0.20  MG/ML ， 5.00 ML,47508
AC36824429,FLUOROMETHOLONE ， 眼用液劑 ， 0.20  MG/ML ， 10.00 ML,211
AC36825316,ACYCLOVIR ， 外用軟膏劑 ， 50.00  MG/GM ， 3.00 GM,18.1
AC36836100,ESTROGEN CONJUGATED ， 一般錠劑膠囊劑 ， 625.00 MCG,11404
AC36840100,LEVODOPA 100MG + BENSERAZIDE 25MG， 一般錠劑膠囊劑，,2050
AC36845100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 750.00 MCG,2551335.5
AC36853100,CALCIUM ACETATE ， 一般錠劑膠囊劑 ， 667.00 MG,272721.3
AC36854100,GINKGO BILOBA EXTRACT， 一般錠劑膠囊劑 ， 40.00 MG,1105522
AC36858423,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,1756.7
AC36862100,GLIPIZIDE ， 一般錠劑膠囊劑 ， 5.00 MG,964
AC36863500,DOMPERIDONE ， 栓劑 ， 10.00 MG,41431.8
AC36865321,AZELAIC ACID ， 外用軟膏劑 ， 200.00  MG/GM ， 5.00 GM,1
AC36865329,AZELAIC ACID ， 外用軟膏劑 ， 200.00  MG/GM ， 10.00 GM,9
AC36865330,AZELAIC ACID ， 外用軟膏劑 ， 200.00  MG/GM ， 12.00 GM,1
AC36865343,AZELAIC ACID ， 外用軟膏劑 ， 200.00  MG/GM ， 30.00 GM,15
AC36868212,VITAMIN C (=ASCORBIC ACID) ， 注射劑 ， 500.00 MG,15
AC36869100,FAMOTIDINE ， 一般錠劑膠囊劑 ， 40.00 MG,285278.5
AC36885209,VITAMIN B12 ， 注射劑 ， 500.00 MCG,368
AC36885212,VITAMIN B12 ， 注射劑 ， 1000.00 MCG,9697
AC36892100,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,8218788
AC368921G0,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,1437516
AC36907209,PRIDINOL ， 注射劑 ， 2.00 MG,4930.1
AC36915100,BENZBROMARONE ， 一般錠劑膠囊劑 ， 100.00 MG,1071
AC36926100,DICLOFENAC ， 一般錠劑膠囊劑 ， 25.00 MG,701717.4
AC36927100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,678703.2
AC36935100,ATENOLOL ， 一般錠劑膠囊劑 ， 100.00 MG,1591
AC36940100,MINOCYCLINE ， 一般錠劑膠囊劑 ， 100.00 MG,330536.6
AC36944100,BIPERIDEN ， 一般錠劑膠囊劑 ， 2.00 MG,43398.5
AC369441G0,BIPERIDEN ， 一般錠劑膠囊劑 ， 2.00 MG,3968485.5
AC36963321,BETAMETHASONE 0.5MG/GM + GENTAMICIN 1MG/GM， 外用軟膏劑， 5.00GM,123649.4
AC36963329,BETAMETHASONE 0.5MG/GM + GENTAMICIN 1MG/GM， 外用軟膏劑， 10.00GM,47663
AC36964100,PHENAZOPYRIDINE ， 一般錠劑膠囊劑 ， 100.00 MG,19027
AC36966100,DILTIAZEM ， 一般錠劑膠囊劑 ， 30.00 MG,343385.3
AC369661G0,DILTIAZEM ， 一般錠劑膠囊劑 ， 30.00 MG,17542129.1
AC36967212,KETOPROFEN ， 注射劑 ， 100.00 MG,4587.6
AC36971100,CLINDAMYCIN ， 一般錠劑膠囊劑 ， 300.00 MG,800757.5
AC37004255,CIPROFLOXACIN ， 注射劑 ， 200.00 MG,14631
AC37029100,NIFUROXAZIDE ， 一般錠劑膠囊劑 ， 200.00 MG,747
AC37053209,PIROXICAM ， 注射劑 ， 20.00 MG,5.3
AC37053212,PIROXICAM ， 注射劑 ， 40.00 MG,72.8
AC37054100,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,89852.9
AC370541G0,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,3580
AC37062209,VITAMIN B12 ， 注射劑 ， 500.00 MCG,9
AC37062221,VITAMIN B12 ， 注射劑 ， 2500.00 MCG,96
AC37063421,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,447
AC37064209,CEFMETAZOLE ， 注射劑 ， 1000.00 MG,89002
AC37064212,CEFMETAZOLE ， 注射劑 ， 2000.00 MG,132839.6
AC37064277,CEFMETAZOLE ， 注射劑 ， 500.00 MG,89953
AC37067329,BETAMETHASONE(DIPROPIONATE)  0.5MG/GM + CLOTRIMAZOLE 10MG/GM， 外用軟膏劑， 10.00GM,14
AC37069321,BETAMETHASONE (DIPROPIONATE) ， 外用軟膏劑 ， 0.50  MG/GM ， 5.00 GM,36839.8
AC37069329,BETAMETHASONE (DIPROPIONATE) ， 外用軟膏劑 ， 0.50  MG/GM ， 10.00 GM,23803
AC37069335,BETAMETHASONE (DIPROPIONATE) ， 外用軟膏劑 ， 0.50  MG/GM ， 15.00 GM,161
AC37069343,BETAMETHASONE (DIPROPIONATE) ， 外用軟膏劑 ， 0.50  MG/GM ， 30.00 GM,1
AC37078321,BETAMETHASONE (DIPROPIONATE) 0.5MG/GM + SALICYLIC ACID 30MG/GM， 外用軟膏劑， 5.00GM,580.5
AC37078329,BETAMETHASONE (DIPROPIONATE) 0.5MG/GM + SALICYLIC ACID 30MG/GM， 外用軟膏劑， 10.00GM,454
AC37078335,BETAMETHASONE (DIPROPIONATE) 0.5MG/GM + SALICYLIC ACID 30MG/GM， 外用軟膏劑， 15.00GM,19246.5
AC37078338,BETAMETHASONE (DIPROPIONATE) 0.5MG/GM + SALICYLIC ACID 30MG/GM， 外用軟膏劑， 20.00GM,856
AC37078340,BETAMETHASONE (DIPROPIONATE) 0.5MG/GM + SALICYLIC ACID 30MG/GM， 外用軟膏劑， 25.00GM,699
